报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,75.237,9.8996,7.6,2.3013,24.52,-41.16%,-3.07亿,-89.29%,0.16,7883.34万,-8.36亿,-12.16%,3.52亿,3.52亿
2024,41.776,9.8996,4.22,0.7095,58.88,-21.34%,-2.42亿,-112.35%,0.24,6.95亿,-28.46亿,-5.06%,5.61亿,4.30亿
2023,29.996,9.8996,3.03,0.4366,68.71,-22.94%,-1.14亿,-48.65%,0.47,8.46亿,-26.89亿,-1.68%,3.59亿,6527.73万
2022,29.996,9.8996,3.03,0.3364,89.16,-4.98%,-7655.58万,-238.82%,0.59,12.45亿,-25.75亿,-0.79%,4.72亿,6221.67万
2021,28.511,9.8996,2.88,0.3038,93.84,23.42%,5514.72万,124.76%,0.69,12.19亿,-24.99亿,0.62%,5.64亿,8121.51万
2020,34.055,9.8996,3.44,0.4479,76.03,36.89%,-2.23亿,-1273.84%,0.63,11.09亿,-25.54亿,-2.92%,5.07亿,8626.91万
2019,27.917,9.8996,2.82,0.5026,55.54,10.01%,1897.15万,-70.48%,0.86,6.74亿,-23.31亿,0.21%,7.44亿,1.01亿
2018,21.581,9.8996,2.18,0.4274,50.49,22.24%,6427.00万,109.31%,0.87,9.10亿,-23.41亿,1.22%,7.54亿,1.66亿
2017,,,3.88,,41.3,26.64%,-6.90亿,66.44%,0.80,13.91亿,-24.05亿,-17.38%,6.93亿,1.30亿
2016,,,5.16,,32.61,-36.33%,-20.56亿,-7402.48%,1.50,14.34亿,-17.15亿,-65.72%,13.94亿,2.03亿
2015,,,5.84,,51.22,-51.97%,2815.73万,-70.49%,3.56,26.96亿,3.41亿,0.04%,35.28亿,2.62亿
2014,,,5.4,,106.52,-38.91%,9542.32万,-61.57%,3.53,13.02亿,3.11亿,0.66%,35.21亿,2.62亿
2013,,,3.75,,174.35,3.93%,2.48亿,-27.09%,3.93,12.61亿,7.11亿,1.23%,39.37亿,2.00亿
2012,,,5.64,,167.76,22.44%,3.41亿,-32.49%,7.30,14.06亿,5.16亿,1.98%,36.91亿,2.74亿
2011,,,5.45,,137.01,26.26%,5.04亿,1088.35%,2.71,10.37亿,4.53亿,2.33%,41.79亿,2.72亿
2010,,,7.49,,11.99,35.38%,4244.48万,24.70%,2.57,2.23亿,-6164.07万,3.72%,6.96亿,1.40亿
