报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,57.254,5.7832,9.9,7.72,-8.22%,-176.87万,-46.92%,3.58,7.4163,,2.7654,PB；PE,3.89亿,3.29亿,-0.54%,23.30亿,6935.92万,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,乐山国有资产投资运营(集团)有限公司
2026-03-31,57.254,5.7832,9.9,7.72,-8.22%,-176.87万,-46.92%,3.58,1.8541,,2.7654,PB；PE,3.89亿,3.29亿,-0.54%,23.30亿,6935.92万,,,乐山国有资产投资运营(集团)有限公司
2025,52.494,5.384,9.75,33.95,6.24%,2331.76万,3.30%,3.58,1.5462,238.9706,2.7235,PB；PE,4.70亿,3.31亿,0.77%,23.33亿,4928.55万,,,乐山国有资产投资运营(集团)有限公司
2024,32.95,5.384,6.12,31.96,7.03%,2257.19万,-7.11%,3.42,1.031,146.0621,1.7895,PB；PE,3.02亿,-1.97亿,0.89%,21.05亿,4530.65万,,,乐山国有资产投资运营(集团)有限公司
2023,37.473,5.384,6.96,29.86,3.94%,2429.87万,-65.57%,3.37,1.255,154.3237,2.0653,PB；PE,2.78亿,-2.19亿,0.87%,20.52亿,4340.71万,,,乐山国有资产投资运营(集团)有限公司
2022,41.941,5.384,7.79,28.72,11.72%,7058.13万,-39.99%,3.33,1.4603,59.4203,2.3393,PB；PE,1.15亿,-2.44亿,2.99%,20.25亿,4419.35万,,,乐山国有资产投资运营(集团)有限公司
2021,42.372,5.384,7.87,25.71,12.22%,1.18亿,14.71%,3.19,1.6481,36.0348,2.4671,PB；PE,1.96亿,-3.14亿,4.74%,19.41亿,5198.65万,,,乐山国有资产投资运营(集团)有限公司
2020,32.089,5.384,5.96,22.91,3.06%,1.03亿,14.90%,2.95,1.4007,31.3025,2.0203,PB；PE,2.29亿,-4.32亿,4.89%,18.22亿,6217.77万,,,乐山国有资产投资运营(集团)有限公司
2019,30.097,5.384,5.59,22.23,2.44%,8923.49万,10.31%,2.75,1.3539,33.7357,2.0327,PB；PE,2.21亿,-5.38亿,4.42%,17.06亿,8333.63万,,,乐山国有资产投资运营(集团)有限公司
2018,24.174,5.384,4.49,21.7,5.43%,8089.46万,88.76%,2.52,1.114,29.8935,1.7817,PB；PE,2.92亿,-6.68亿,3.91%,15.67亿,8124.89万,,,乐山国有资产投资运营(集团)有限公司
2017,,,7.05,20.59,8.05%,4285.63万,-79.73%,2.37,,88.5678,2.9747,PB；PE,1.99亿,-7.49亿,2.70%,14.78亿,7552.07万,,,乐山国有资产投资运营(集团)有限公司
2016,,,9.16,19.06,15.15%,2.11亿,83.07%,2.27,,23.3198,4.0352,PB；PE,1.99亿,-7.92亿,11.80%,13.35亿,9562.25万,,,乐山国有资产投资运营(集团)有限公司
2015,,,9.12,16.55,7.48%,1.16亿,110.14%,1.88,,42.4977,4.8511,PB；PE,1.47亿,-10.03亿,7.65%,11.12亿,8700.23万,,,乐山国有资产投资运营(集团)有限公司
2014,,,9.44,15.4,5.27%,-11.39亿,-281.56%,1.66,,,5.6867,PB；PE,9.38亿,-11.19亿,-119.39%,9.86亿,5653.28万,,,乐山国有资产投资运营(集团)有限公司
2013,,,8.07,14.63,0.87%,-2.99亿,-750.75%,1.39,,,5.8058,PB；PE,8153.90万,2046.49万,-44.83%,3.20亿,8433.74万,0.05,,乐山国有资产投资运营(集团)有限公司
2012,,,9.04,14.5,-30.78%,4588.48万,-42.37%,2.36,,64.3416,3.8305,PB；PE,9378.76万,3.35亿,-2.36%,9.93亿,1.97亿,0.06,,乐山国有资产投资运营(集团)有限公司
2011,,,8.2,20.95,17.76%,7961.39万,27.05%,2.4,,33.6203,3.4167,PB；PE,1.91亿,3.17亿,4.35%,11.09亿,2.59亿,0.06,,乐山国有资产投资运营(集团)有限公司
2010,,,13.61,17.79,89.78%,6266.54万,10.36%,2.21,,70.9224,6.1584,PB；PE,1.99亿,2.61亿,4.18%,10.39亿,1.09亿,0.05,,乐山国有资产投资运营(集团)有限公司
