报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,181.654,14.5556,12.48,4.37,138.83%,1.94亿,506.59%,9.21,41.5684,96.0,1.355,PB；PE,526.55亿,65.06亿,44.35%,133.98亿,,,财通证券股份有限公司
2026-03-31,181.654,14.5556,12.48,4.37,138.83%,1.94亿,506.59%,9.21,10.3921,96.0,1.355,PB；PE,526.55亿,65.06亿,44.35%,133.98亿,,,财通证券股份有限公司
2025,233.908,14.5556,16.07,18.51,17.33%,6.52亿,15.10%,9.12,12.6368,35.7111,1.7621,PB；PE,501.85亿,63.12亿,35.22%,132.70亿,0.09,,财通证券股份有限公司
2024,190.824,14.5556,13.11,15.77,-8.76%,5.66亿,-22.27%,8.8,12.1004,33.6154,1.4898,PB；PE,464.30亿,59.31亿,2.65%,128.19亿,0.131,,财通证券股份有限公司
2023,224.884,14.5556,15.45,238.23,-31.50%,7.29亿,8.34%,8.52,0.944,30.9,1.8134,PB；PE,472.49亿,56.18亿,3.06%,123.95亿,0.20999999999999996,,财通证券股份有限公司
2022,227.795,14.5556,15.65,347.75,-8.10%,6.72亿,-48.53%,8.21,0.6551,34.0217,1.9062,PB；PE,427.54亿,53.04亿,1.93%,119.52亿,0.27999999999999997,,财通证券股份有限公司
2021,522.546,14.5556,35.9,378.42,48.58%,13.07亿,14.01%,7.96,1.3809,35.9,4.5101,PB；PE,387.53亿,51.08亿,3.45%,115.86亿,,,财通证券股份有限公司
2020,,,,254.69,11.92%,11.46亿,14.52%,5.95,,,,PB；PE,239.60亿,39.62亿,4.50%,77.98亿,,,财通证券股份有限公司
2019,,,,227.58,44.37%,10.01亿,14.74%,5.24,,,,PB；PE,214.08亿,31.56亿,4.40%,68.64亿,,,财通证券股份有限公司
2018,,,,157.64,64.39%,8.72亿,-5.41%,4.56,,,,PB；PE,153.52亿,25.67亿,5.53%,59.72亿,,,财通证券股份有限公司
2017,,,,95.89,40.95%,9.22亿,51.52%,4.25,,,,PB；PE,161.78亿,19.88亿,9.62%,55.61亿,,,财通证券股份有限公司
2016,,,,68.03,56.00%,6.09亿,27.15%,3.64,,,,PB；PE,190.86亿,14.47亿,9.04%,49.54亿,,,财通证券股份有限公司
2015,,,,43.61,74.35%,4.79亿,52.67%,3.07,,,,PB；PE,156.73亿,9.31亿,11.12%,41.94亿,,,财通证券股份有限公司
2014,,,,25.01,183.89%,3.13亿,43.45%,2.04,,,,PB；PE,104.31亿,5.31亿,12.74%,17.90亿,,,财通证券股份有限公司
2013,,,,8.81,False,2.19亿,False,1.68,,,,PB；PE,67.15亿,2.74亿,25.51%,14.67亿,,,财通证券股份有限公司
