报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,45.254,4.129,10.96,2.1068,5.37,-8.07%,-1832.01万,-103.15%,13.27,2.22亿,45.92亿,-4.16%,57.86亿,3.79亿
2025,46.658,4.129,11.3,1.8169,25.68,-10.74%,4.12亿,281.43%,13.33,2.53亿,46.10亿,15.37%,58.48亿,4.12亿
2024,28.903,3.4408,8.4,1.005,28.76,-0.58%,1.08亿,15.18%,15.08,2.64亿,42.33亿,4.61%,55.32亿,4.01亿
2023,31.07,3.4408,9.03,1.074,28.93,-18.73%,9375.62万,-67.41%,14.85,2.11亿,41.59亿,3.06%,54.69亿,3.95亿
2022,35.371,3.4408,10.28,0.9936,35.6,-6.43%,2.88亿,-68.86%,15.07,3.73亿,41.23亿,9.36%,55.85亿,4.29亿
2021,49.031,3.4408,14.25,1.2886,38.05,17.17%,9.24亿,58.12%,15.13,2.97亿,40.07亿,26.57%,55.11亿,4.33亿
2020,36.266,3.4408,10.54,1.1169,32.47,-8.46%,5.84亿,-19.36%,12.89,2.30亿,30.62亿,19.90%,47.21亿,3.45亿
2019,40.223,3.4408,11.69,1.1337,35.48,5.51%,7.25亿,23.14%,11.01,2.75亿,26.23亿,22.66%,40.80亿,2.99亿
2018,29.35,3.4408,8.53,0.873,33.62,18.95%,5.89亿,68.87%,9.19,3.08亿,20.28亿,20.00%,34.50亿,2.74亿
2017,,,11.34,,28.27,18.81%,3.48亿,22.18%,7.64,2.36亿,15.17亿,13.70%,28.24亿,2.61亿
2016,,,11.82,,23.79,5.34%,2.85亿,41.98%,6.93,1.83亿,12.74亿,12.98%,25.52亿,2.67亿
2015,,,12.3,,22.59,0.07%,2.01亿,-29.02%,6.30,1.49亿,10.71亿,9.88%,23.24亿,2.41亿
2014,,,9.23,,22.57,4.91%,2.83亿,40.41%,5.99,3.99亿,9.70亿,14.16%,22.37亿,2.14亿
2013,,,6.52,,21.51,30.46%,2.02亿,23.28%,5.05,1.28亿,7.71亿,11.01%,18.96亿,1.89亿
2012,,,6.66,,16.49,0.26%,1.64亿,-39.17%,4.40,1.07亿,6.25亿,11.40%,16.46亿,1.72亿
2011,,,5.13,,16.45,24.18%,2.69亿,102.42%,4.13,1.40亿,5.18亿,19.01%,15.56亿,1.65亿
2010,,,7.77,,13.25,0.05%,1.33亿,79.68%,3.37,1.61亿,2.60亿,11.33%,12.58亿,1.57亿
