报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,78.197,15.5462,5.03,0.7275,26.87,6.32%,1.80亿,172.57%,5.91,26.30亿,34.38亿,6.76%,92.47亿,18.09亿
2025,80.529,15.5462,5.18,0.7357,109.46,2.39%,6.20亿,0.74%,5.83,24.65亿,32.58亿,5.69%,91.16亿,17.38亿
2024,75.43,15.5526,4.85,0.7055,106.91,11.35%,6.15亿,-26.08%,5.65,27.39亿,29.44亿,5.81%,88.50亿,18.98亿
2023,68.614,12.0376,5.7,0.7147,96.01,13.76%,8.33亿,94.19%,5.74,34.32亿,26.76亿,8.74%,71.45亿,16.05亿
2022,49.342,11.475,4.3,0.5846,84.4,15.00%,4.29亿,15.97%,5.62,33.46亿,21.25亿,5.11%,64.82亿,12.55亿
2021,43.226,9.5632,4.52,0.589,73.39,7.79%,3.70亿,-67.52%,6.19,21.13亿,18.29亿,5.04%,59.41亿,9.53亿
2020,37.566,7.9759,4.71,0.5517,68.09,5.43%,11.38亿,740.56%,6.11,20.36亿,16.34亿,16.72%,48.82亿,6.06亿
2019,25.668,7.7546,3.31,0.3975,64.58,-5.38%,1.35亿,53.61%,4.79,21.69亿,6.44亿,2.10%,37.24亿,6.89亿
2018,18.456,7.7546,2.38,0.2704,68.25,-1.93%,8817.31万,139.77%,4.39,16.89亿,5.44亿,1.29%,34.15亿,7.98亿
2017,,,3.31,,69.6,24.56%,-2.22亿,-1555.89%,4.29,12.74亿,4.72亿,-3.19%,33.40亿,6.70亿
2016,,,4.24,,55.87,18.04%,1522.72万,105.88%,4.62,21.57亿,7.13亿,0.26%,35.79亿,8.62亿
2015,,,5.14,,47.33,-14.92%,-2.59亿,-255.88%,4.50,30.26亿,7.10亿,-5.46%,34.85亿,9.97亿
2014,,,4.72,,55.63,-14.11%,1.66亿,-4.32%,4.87,14.97亿,10.00亿,3.00%,37.74亿,11.16亿
2013,,,3.62,,64.78,-1.80%,1.74亿,35.45%,4.87,5.60亿,8.68亿,2.69%,23.84亿,10.81亿
2012,,,3.31,,65.97,-12.47%,1.28亿,34.41%,4.58,5.93亿,7.42亿,1.95%,22.45亿,12.23亿
2011,,,3.31,,75.36,21.03%,9538.40万,-23.54%,4.37,4.92亿,6.51亿,1.27%,21.49亿,10.94亿
2010,,,4.77,,62.27,31.44%,1.25亿,-65.38%,6.29,3.85亿,5.83亿,2.01%,16.09亿,9.56亿
