报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,1025.198,102.4174,10.01,49.21,-4.54%,21.05亿,-9.63%,9.79,20.8331,55.6111,1.0225,PB；PE,3483.47亿,353.78亿,42.76%,1405.08亿,0.1,40%: 最新年度营业收入下滑；最新年度净利润同比下降,深圳市投资控股有限公司
2026-03-31,1025.198,102.4174,10.01,49.21,-4.54%,21.05亿,-9.63%,9.79,5.2083,55.6111,1.0225,PB；PE,3483.47亿,353.78亿,42.76%,1405.08亿,0.1,,深圳市投资控股有限公司
2025,1251.538,96.1243,13.02,241.43,28.21%,110.73亿,34.76%,9.55,5.1839,12.8911,1.3634,PB；PE,3329.61亿,325.97亿,45.87%,1316.10亿,0.35,,深圳市投资控股有限公司
2024,1035.259,96.1243,10.77,188.31,16.46%,82.17亿,27.84%,9.23,5.4976,14.9583,1.1668,PB；PE,2772.44亿,303.44亿,40.74%,1186.92亿,0.27,,深圳市投资控股有限公司
2023,766.111,96.1243,7.97,173.17,9.08%,64.27亿,5.57%,8.37,4.424,14.7593,0.9522,PB；PE,2578.88亿,275.04亿,37.12%,1104.60亿,0.27,,深圳市投资控股有限公司
2022,772.839,96.1243,8.04,158.76,-33.35%,60.88亿,-39.81%,8.0,4.868,15.4615,1.005,PB；PE,2244.50亿,262.88亿,38.33%,1068.85亿,0.5,,深圳市投资控股有限公司
2021,949.708,96.1243,9.88,238.18,26.80%,101.15亿,52.89%,8.0,3.9874,10.1856,1.235,PB；PE,2200.34亿,275.83亿,42.48%,969.27亿,0.22999999999999998,,深圳市投资控股有限公司
2020,942.18,82.0,11.49,187.84,33.29%,66.16亿,34.73%,7.38,5.0159,15.9583,1.5569,PB；PE,1726.66亿,228.65亿,35.23%,809.24亿,0.2,,深圳市投资控股有限公司
2019,850.34,82.0,10.37,140.93,40.49%,49.10亿,43.43%,6.25,6.0338,18.5179,1.6592,PB；PE,1154.26亿,200.28亿,34.87%,562.55亿,0.12,,深圳市投资控股有限公司
2018,561.7,82.0,6.85,100.31,-15.87%,34.23亿,-25.17%,5.77,5.5996,18.0263,1.1872,PB；PE,1020.25亿,176.73亿,34.21%,525.27亿,0.15,,深圳市投资控股有限公司
2017,,,8.75,119.24,-6.46%,45.75亿,0.41%,5.72,,16.8269,1.5297,PB；PE,723.18亿,164.45亿,38.40%,521.43亿,0.2,,深圳市投资控股有限公司
2016,,,12.35,127.47,-56.25%,45.56亿,-67.34%,5.27,,22.0536,2.3435,PB；PE,865.66亿,151.10亿,35.74%,484.45亿,0.6,,深圳市投资控股有限公司
2015,,,15.15,291.39,147.10%,139.49亿,183.08%,5.45,,8.9118,2.7798,PB；PE,1261.83亿,173.64亿,47.87%,498.88亿,0.2,,深圳市投资控股有限公司
2014,,,7.74,117.92,74.14%,49.28亿,134.45%,4.0,,11.0571,1.935,PB；PE,687.14亿,92.48亿,41.92%,327.83亿,,,深圳市投资控股有限公司
2013,,,,67.72,11.46%,21.02亿,13.72%,2.94,,,,PB；PE,364.32亿,63.77亿,31.11%,206.47亿,,,深圳市投资控股有限公司
2012,,,,60.79,0.38%,18.48亿,1.46%,2.74,,,,PB；PE,406.01亿,55.11亿,30.40%,192.02亿,,,深圳市投资控股有限公司
2011,,,,60.56,-22.41%,18.22亿,-41.43%,2.54,,,,PB；PE,411.65亿,49.03亿,30.08%,177.71亿,,,深圳市投资控股有限公司
2010,,,,78.05,-13.95%,31.10亿,-25.41%,0.0,,,,PB；PE,499.53亿,50.59亿,39.85%,173.75亿,,,深圳市投资控股有限公司
