报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,222.212,68.1632,3.26,2.51,-18.62%,2438.14万,-64.11%,1.46,88.5307,815.0,2.2329,PB；PE,128.97亿,-7.02亿,9.72%,99.33亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,北京嘉裕投资有限公司
2026-03-31,222.212,68.1632,3.26,2.51,-18.62%,2438.14万,-64.11%,1.46,22.1327,815.0,2.2329,PB；PE,128.97亿,-7.02亿,9.72%,99.33亿,,,北京嘉裕投资有限公司
2025,280.151,68.1632,4.11,13.27,0.60%,2.11亿,-4.32%,1.45,21.1116,132.5806,2.8345,PB；PE,124.92亿,-7.27亿,15.85%,99.11亿,,,北京嘉裕投资有限公司
2024,290.375,68.1632,4.26,13.19,-3.74%,2.20亿,-12.17%,1.42,22.0148,133.125,3.0,PB；PE,111.68亿,-9.52亿,16.68%,96.99亿,,,北京嘉裕投资有限公司
2023,252.204,68.1632,3.7,13.71,16.93%,2.51亿,154.57%,1.39,18.3956,100.0,2.6619,PB；PE,96.19亿,-11.71亿,18.32%,94.84亿,,,北京嘉裕投资有限公司
2022,175.179,68.1632,2.57,11.72,-28.10%,-4.59亿,-478.45%,1.35,14.947,,1.9037,PB；PE,95.86亿,-14.21亿,-39.53%,92.44亿,,,北京嘉裕投资有限公司
2021,223.575,68.1632,3.28,16.3,39.16%,1.21亿,115.95%,1.42,13.7163,182.2222,2.3099,PB；PE,127.20亿,-9.30亿,8.21%,97.52亿,,,北京嘉裕投资有限公司
2020,278.106,68.1632,4.08,11.72,-34.07%,-7.61亿,-264.30%,1.41,23.7292,,2.8936,PB；PE,146.44亿,-10.47亿,-64.51%,96.58亿,,,北京嘉裕投资有限公司
2019,258.339,68.1632,3.79,17.77,352.72%,4.63亿,135.01%,1.52,14.5379,55.7353,2.4934,PB；PE,207.22亿,-2.80亿,26.66%,104.43亿,,,北京嘉裕投资有限公司
2018,169.726,68.1632,2.49,3.93,-69.96%,-13.22亿,-1237.14%,1.51,43.1873,,1.649,PB；PE,242.17亿,-2.23亿,-337.68%,106.03亿,0.01,,北京嘉裕投资有限公司
2017,,,3.61,13.07,-28.11%,1.16亿,-82.59%,1.72,,212.3529,2.0988,PB；PE,200.81亿,11.67亿,9.71%,120.80亿,0.03,,北京嘉裕投资有限公司
2016,,,5.1,18.04,-34.24%,6.68亿,-41.07%,1.73,,51.0,2.948,PB；PE,141.26亿,13.02亿,36.93%,125.94亿,0.08,,北京嘉裕投资有限公司
2015,,,5.76,27.43,101.84%,11.33亿,108.54%,2.1,,26.9159,2.7429,PB；PE,118.14亿,11.43亿,41.36%,79.74亿,0.05,,北京嘉裕投资有限公司
2014,,,8.31,13.59,178.65%,5.43亿,628.41%,1.81,,48.5965,4.5912,PB；PE,63.00亿,5.36亿,42.13%,71.83亿,0.015,,北京嘉裕投资有限公司
2013,,,2.31,4.88,-7.49%,7459.01万,5.81%,1.32,,51.3333,1.75,PB；PE,32.79亿,1.85亿,15.34%,21.91亿,0.015,,北京嘉裕投资有限公司
2012,,,2.12,5.26,-21.01%,7049.13万,-55.01%,1.29,,49.3023,1.6434,PB；PE,39.43亿,1.57亿,13.41%,21.35亿,0.034999999999999996,,北京嘉裕投资有限公司
2011,,,2.36,6.66,-1.38%,1.57亿,-23.11%,1.41,,24.8421,1.6738,PB；PE,44.43亿,3.10亿,23.54%,21.16亿,,,北京嘉裕投资有限公司
2010,,,3.8,6.75,-19.21%,2.04亿,-49.73%,1.3,,27.9412,2.9231,PB；PE,42.85亿,2.00亿,30.19%,19.59亿,0.02,,北京嘉裕投资有限公司
