报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,658.882,46.1079,14.29,30.84,23.10%,11.66亿,42.34%,13.49,21.3645,62.1304,1.0593,PB；PE,1626.92亿,180.79亿,38.20%,760.82亿,,,中国光大集团股份公司
2026-03-31,658.882,46.1079,14.29,30.84,23.10%,11.66亿,42.34%,13.49,5.3411,62.1304,1.0593,PB；PE,1626.92亿,180.79亿,38.20%,760.82亿,,,中国光大集团股份公司
2025,809.194,46.1079,17.55,108.52,13.06%,37.24亿,21.77%,13.21,7.4566,24.0411,1.3285,PB；PE,1536.31亿,169.22亿,34.63%,728.03亿,0.21810000000000002,,中国光大集团股份公司
2024,824.87,46.1079,17.89,95.98,-4.32%,30.58亿,-28.39%,12.77,8.5942,30.8448,1.4009,PB；PE,1519.54亿,151.71亿,32.15%,692.23亿,0.3708,,中国光大集团股份公司
2023,685.624,46.1079,14.87,100.31,-6.94%,42.71亿,33.93%,12.49,6.8351,17.7024,1.1906,PB；PE,1376.18亿,147.61亿,42.87%,678.95亿,0.21000000000000002,,中国光大集团股份公司
2022,653.349,46.1079,14.17,107.8,-35.48%,31.89亿,-8.47%,11.82,6.0608,23.2295,1.1988,PB；PE,1602.71亿,122.87亿,30.06%,647.84亿,0.22799999999999998,,中国光大集团股份公司
2021,645.05,46.1079,13.99,167.07,5.30%,34.84亿,49.28%,11.47,3.861,19.4306,1.2197,PB；PE,1363.55亿,116.37亿,21.33%,585.95亿,0.158,,中国光大集团股份公司
2020,792.595,46.1079,17.19,158.66,57.76%,23.34亿,310.97%,10.94,4.9956,34.38,1.5713,PB；PE,1229.84亿,102.60亿,15.54%,531.95亿,0.037,,中国光大集团股份公司
2019,559.75,46.1079,12.14,100.57,30.41%,5.68亿,449.68%,10.29,5.5658,101.1667,1.1798,PB；PE,1144.15亿,97.85亿,6.90%,490.19亿,0.1,,中国光大集团股份公司
2018,371.63,46.1079,8.06,77.12,-21.61%,1.03亿,-96.57%,10.24,4.8189,359.8214,0.7871,PB；PE,978.53亿,101.33亿,3.16%,487.58亿,0.2,,中国光大集团股份公司
2017,,,12.1,98.38,7.35%,30.16亿,0.11%,10.54,,18.4959,1.148,PB；PE,837.25亿,116.31亿,31.78%,500.23亿,0.2,,中国光大集团股份公司
2016,,,14.22,91.65,-44.70%,30.13亿,-60.60%,10.24,,19.2396,1.3887,PB；PE,858.45亿,105.07亿,33.57%,486.37亿,0.6,,中国光大集团股份公司
2015,,,19.66,165.71,151.02%,76.47亿,269.70%,10.36,,9.2067,1.8977,PB；PE,1023.98亿,108.15亿,46.75%,424.24亿,0.08,,中国光大集团股份公司
2014,,,24.39,66.01,64.23%,20.68亿,904.83%,7.55,,40.3074,3.2305,PB；PE,496.89亿,55.52亿,32.37%,266.20亿,0.02,,中国光大集团股份公司
2013,,,7.41,40.2,10.07%,2.06亿,-79.48%,6.68,,123.0897,1.1093,PB；PE,259.65亿,42.03亿,7.05%,236.06亿,0.092,,中国光大集团股份公司
2012,,,11.94,36.52,-18.82%,10.03亿,-35.06%,6.49,,40.6953,1.8398,PB；PE,344.28亿,43.01亿,28.30%,229.10亿,0.262,,中国光大集团股份公司
2011,,,8.48,44.98,-10.99%,15.44亿,-29.80%,6.28,,18.7652,1.3503,PB；PE,239.30亿,44.95亿,35.47%,222.06亿,0.45,,中国光大集团股份公司
2010,,,12.03,50.54,-9.65%,22.00亿,-22.17%,6.65,,18.7969,1.809,PB；PE,379.25亿,50.02亿,44.81%,229.01亿,0.5,,中国光大集团股份公司
