报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1974.853,77.5669,25.46,76.96,62.27%,36.67亿,99.03%,11.12,25.6608,57.8636,2.2896,PB；PE,4333.49亿,369.47亿,47.69%,1268.74亿,0.16499999999999998,,北京金融控股集团有限公司
2026-03-31,1974.853,77.5669,25.46,76.96,62.27%,36.67亿,99.03%,11.12,6.4152,57.8636,2.2896,PB；PE,4333.49亿,369.47亿,47.69%,1268.74亿,0.16499999999999998,,北京金融控股集团有限公司
2025,2064.055,77.5669,26.61,233.22,22.41%,94.39亿,30.68%,10.69,8.8502,24.4128,2.4892,PB；PE,3633.63亿,335.71亿,40.54%,1191.50亿,0.16499999999999998,,北京金融控股集团有限公司
2024,1973.302,77.5669,25.44,190.53,-9.10%,72.23亿,2.68%,9.88,10.3569,32.2025,2.5749,PB；PE,3397.84亿,302.39亿,34.24%,1065.19亿,0.33999999999999997,,北京金融控股集团有限公司
2023,1783.263,77.5669,22.99,232.43,-15.68%,70.34亿,-6.45%,9.36,7.6723,29.4744,2.4562,PB；PE,3312.46亿,291.49亿,30.32%,975.26亿,0.27,,北京金融控股集团有限公司
2022,1771.628,77.5669,22.84,275.65,-7.72%,75.19亿,-26.56%,8.81,6.4271,26.5581,2.5925,PB；PE,2995.04亿,271.90亿,27.27%,932.96亿,0.395,,北京金融控股集团有限公司
2021,2150.93,77.5669,27.73,298.72,27.93%,102.39亿,7.67%,8.36,7.2005,22.184,3.317,PB；PE,2654.20亿,258.01亿,34.26%,800.06亿,0.375,,北京金融控股集团有限公司
2020,3007.325,76.4639,39.33,233.51,70.53%,95.09亿,72.85%,7.45,12.8788,32.775,5.2792,PB；PE,2215.20亿,220.76亿,40.84%,680.71亿,0.23500000000000001,,北京金融控股集团有限公司
2019,2163.164,76.4639,28.29,136.93,25.54%,55.02亿,78.19%,6.09,15.7976,42.2239,4.6453,PB；PE,1820.11亿,175.43亿,40.38%,568.95亿,0.18,,北京金融控股集团有限公司
2018,613.24,76.4639,8.02,109.07,-3.50%,30.87亿,-23.11%,5.57,5.6224,21.1053,1.4399,PB；PE,1004.53亿,155.05亿,28.45%,478.63亿,0.18,,北京金融控股集团有限公司
2017,,,,113.03,-14.75%,40.15亿,-23.65%,5.35,,,,PB；PE,743.71亿,150.18亿,35.93%,439.99亿,,,北京金融控股集团有限公司
2016,,,,132.59,-30.26%,52.59亿,-39.12%,5.03,,,,PB；PE,922.73亿,137.88亿,40.07%,412.63亿,,,北京金融控股集团有限公司
2015,,,,190.11,121.38%,86.39亿,153.55%,4.12,,,,PB；PE,1078.46亿,104.04亿,45.51%,301.83亿,,,北京金融控股集团有限公司
2014,,,,85.87,52.00%,34.07亿,90.67%,2.73,,,,PB；PE,647.36亿,47.28亿,39.57%,167.28亿,,,北京金融控股集团有限公司
2013,,,,56.5,27.52%,17.87亿,33.14%,0.0,,,,PB；PE,286.02亿,25.65亿,31.47%,131.54亿,,,北京金融控股集团有限公司
2012,,,,44.3,10.75%,13.42亿,10.78%,0.0,,,,PB；PE,294.35亿,17.37亿,30.30%,119.35亿,,,北京金融控股集团有限公司
2011,,,,40.0,-29.59%,12.12亿,-43.93%,0.0,,,,PB；PE,322.70亿,8.92亿,30.29%,105.00亿,,,北京金融控股集团有限公司
2010,,,,56.82,-6.59%,21.61亿,-17.45%,0.0,,,,PB；PE,447.65亿,39.73亿,38.03%,94.26亿,,,北京金融控股集团有限公司
