报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,1584.307,48.2726,32.82,88.25,54.26%,35.77亿,75.19%,21.27,17.9525,46.8857,1.543,PB；PE,4778.91亿,449.18亿,40.81%,1379.21亿,,,中央汇金投资有限责任公司
2026-03-31,1584.307,48.2726,32.82,88.25,54.26%,35.77亿,75.19%,21.27,4.4881,46.8857,1.543,PB；PE,4778.91亿,449.18亿,40.81%,1379.21亿,,,中央汇金投资有限责任公司
2025,1689.541,48.2726,35.0,284.81,33.50%,97.91亿,71.93%,20.71,5.9322,18.617,1.69,PB；PE,4450.58亿,412.78亿,34.41%,1243.88亿,0.18,,中央汇金投资有限责任公司
2024,1618.58,48.2726,33.53,213.33,-7.21%,56.94亿,-7.50%,19.15,7.5872,32.3961,1.7509,PB；PE,4074.76亿,339.86亿,26.60%,1156.22亿,0.27,,中央汇金投资有限责任公司
2023,1811.188,48.2726,37.52,229.9,-11.87%,61.56亿,-18.97%,18.27,7.8782,32.9701,2.0536,PB；PE,4035.02亿,328.24亿,26.81%,1048.97亿,0.18,,中央汇金投资有限责任公司
2022,1806.843,48.2726,37.43,260.87,-13.42%,75.98亿,-29.51%,17.15,6.9262,25.6546,2.1825,PB；PE,4155.59亿,293.53亿,29.11%,994.75亿,0.3,,中央汇金投资有限责任公司
2021,2307.43,48.2726,47.8,301.31,27.35%,107.78亿,49.54%,15.73,7.658,22.1399,3.0388,PB；PE,4362.80亿,255.29亿,35.88%,847.31亿,0.18,,中央汇金投资有限责任公司
2020,3531.141,48.2726,73.15,236.6,50.17%,72.07亿,70.04%,13.8,14.9245,45.776,5.3007,PB；PE,3434.22亿,177.99亿,30.69%,718.15亿,,,中央汇金投资有限责任公司
2019,,,,157.55,22.00%,42.39亿,21.38%,10.83,,,,PB；PE,2296.46亿,117.81亿,26.96%,485.32亿,,,中央汇金投资有限责任公司
2018,,,,129.14,15.21%,34.92亿,26.24%,9.82,,,,PB；PE,1662.27亿,91.27亿,27.37%,423.77亿,,,中央汇金投资有限责任公司
2017,,,,112.09,53.08%,27.66亿,51.98%,8.96,,,,PB；PE,1472.30亿,71.14亿,25.08%,368.92亿,,,中央汇金投资有限责任公司
2016,,,,73.22,-9.85%,18.20亿,-6.78%,0.0,,,,PB；PE,772.76亿,55.01亿,25.13%,184.97亿,,,中央汇金投资有限责任公司
2015,,,,81.22,55.35%,19.53亿,74.58%,0.0,,,,PB；PE,739.46亿,40.50亿,24.04%,164.42亿,,,中央汇金投资有限责任公司
2014,,,,52.28,60.31%,11.18亿,202.19%,0.0,,,,PB；PE,342.29亿,51.06亿,21.39%,79.92亿,,,中央汇金投资有限责任公司
2013,,,,32.62,-4.93%,3.70亿,20.27%,0.0,,,,PB；PE,196.69亿,41.71亿,11.35%,68.67亿,,,中央汇金投资有限责任公司
2012,,,,34.31,4.37%,3.08亿,122.20%,0.0,,,,PB；PE,217.13亿,38.65亿,8.97%,65.47亿,,,中央汇金投资有限责任公司
2011,,,,32.87,-40.85%,1.39亿,-84.77%,0.0,,,,PB；PE,291.48亿,42.72亿,4.21%,62.04亿,,,中央汇金投资有限责任公司
2010,,,,55.57,4.99%,9.09亿,-20.57%,0.0,,,,PB；PE,268.71亿,41.41亿,16.36%,61.95亿,,,中央汇金投资有限责任公司
