报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-05,80.461,8.96,8.98,1.5,392.66%,-1569.42万,83.61%,2.98,53.6407,,3.0134,PB；PE,113.97亿,5.20亿,-8.29%,47.06亿,,,东莞市新世纪科教拓展有限公司
2026-03-31,80.461,8.96,8.98,1.5,392.66%,-1569.42万,83.61%,2.98,13.4102,,3.0134,PB；PE,113.97亿,5.20亿,-8.29%,47.06亿,,,东莞市新世纪科教拓展有限公司
2025,107.699,8.96,12.02,9.3,40.33%,2.83亿,417.70%,2.99,11.5805,37.5625,4.0201,PB；PE,114.15亿,5.37亿,30.97%,47.14亿,,,东莞市新世纪科教拓展有限公司
2024,135.475,8.96,15.12,6.63,245.16%,-8923.01万,76.77%,2.68,20.4336,,5.6418,PB；PE,101.78亿,2.79亿,-5.97%,44.77亿,,,东莞市新世纪科教拓展有限公司
2023,131.443,8.96,14.67,1.92,-22.40%,-3.84亿,2.04%,2.76,68.4599,,5.3152,PB；PE,81.69亿,3.93亿,-220.71%,45.42亿,,,东莞市新世纪科教拓展有限公司
2022,115.942,8.96,12.94,2.47,-75.42%,-3.92亿,-198.31%,3.18,46.9401,,4.0692,PB；PE,83.93亿,7.78亿,-180.83%,50.40亿,0.01,,东莞市新世纪科教拓展有限公司
2021,141.03,8.96,15.74,10.06,-39.84%,-1.31亿,-298.93%,5.86,14.0189,,2.686,PB；PE,89.06亿,11.80亿,-13.97%,52.47亿,,,东莞市新世纪科教拓展有限公司
2020,141.568,8.96,15.8,16.73,10.12%,6607.54万,-6.38%,3.79,8.4619,225.7143,4.1689,PB；PE,103.52亿,13.13亿,8.92%,53.66亿,,,东莞市新世纪科教拓展有限公司
2019,136.102,8.96,15.19,15.19,55.26%,7057.75万,138.96%,3.73,8.96,189.875,4.0724,PB；PE,152.55亿,15.19亿,9.50%,52.35亿,,,东莞市新世纪科教拓展有限公司
2018,81.267,8.96,9.07,9.79,-16.73%,-1.81亿,-193.25%,3.85,8.301,,2.3558,PB；PE,190.32亿,16.26亿,-15.86%,52.83亿,0.1,,东莞市新世纪科教拓展有限公司
2017,,,16.77,11.75,-37.89%,1.94亿,-46.85%,4.15,,76.2273,4.041,PB；PE,224.86亿,19.20亿,20.82%,55.28亿,0.1,,东莞市新世纪科教拓展有限公司
2016,,,23.03,18.91,-24.54%,3.66亿,-59.97%,4.08,,56.1707,5.6446,PB；PE,152.49亿,18.29亿,1691.29%,53.67亿,0.1,,东莞市新世纪科教拓展有限公司
2015,,,28.46,29.31,157.95%,9.13亿,136.12%,3.77,,27.902,7.5491,PB；PE,94.31亿,15.92亿,4882.36%,50.05亿,0.1,,东莞市新世纪科教拓展有限公司
2014,,,26.46,11.36,231.54%,3.87亿,624.53%,2.86,,61.5349,9.2517,PB；PE,51.47亿,8.00亿,1166.52%,39.84亿,0.2,,东莞市新世纪科教拓展有限公司
2013,,,11.08,3.43,261.87%,5338.05万,126.25%,4.95,,184.6667,2.2384,PB；PE,30.76亿,5.05亿,59.44%,37.15亿,0.1,,东莞市新世纪科教拓展有限公司
2012,,,5.33,0.947945,-0.84%,2359.34万,8.07%,4.96,,79.5522,1.0746,PB；PE,14.10亿,5.00亿,29.76%,22.47亿,,,东莞市新世纪科教拓展有限公司
2011,,,4.86,0.955958,8.30%,2183.25万,-85.88%,2.85,,69.4286,1.7053,PB；PE,8063.54万,4.78亿,26.82%,8.93亿,,,东莞市新世纪科教拓展有限公司
2010,,,8.38,0.882657,-45.52%,1.55亿,-22.68%,2.81,,16.4314,2.9822,PB；PE,2941.85万,4.72亿,178.04%,8.80亿,,,东莞市新世纪科教拓展有限公司
