报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,30.707,5.1435,5.97,1.9435,3.95,1.86%,-4845.13万,9.03%,4.93,8.04亿,16.62亿,-10.99%,30.51亿,6.36亿
2025,30.552,5.1435,5.94,1.8607,16.42,-6.63%,-7.32亿,-14.29%,5.04,9.18亿,17.10亿,-53.87%,31.10亿,6.44亿
2024,32.454,5.1432,6.31,1.845,17.59,-27.55%,-6.41亿,-173.74%,6.43,8.65亿,24.42亿,-41.53%,39.82亿,8.75亿
2023,58.527,5.143,11.38,2.4105,24.28,-65.16%,-2.34亿,-124.09%,7.84,19.48亿,30.83亿,-7.29%,49.84亿,9.75亿
2022,60.482,5.143,11.76,0.8677,69.7,43.58%,9.72亿,14.25%,9.09,34.75亿,36.26亿,24.84%,58.53亿,12.66亿
2021,71.999,5.1428,14.0,1.4833,48.54,16.82%,8.50亿,25.92%,7.25,26.38亿,26.88亿,27.89%,51.31亿,8.27亿
2020,73.759,5.1436,14.34,1.7752,41.55,72.11%,6.75亿,233.55%,5.83,21.52亿,19.37亿,27.49%,38.99亿,7.58亿
2019,55.724,5.1453,10.83,2.3084,24.14,21.32%,2.02亿,-2.55%,4.58,4.42亿,12.88亿,11.32%,26.90亿,5.44亿
2018,44.515,5.1522,8.64,2.2369,19.9,24.85%,2.08亿,-4.58%,4.23,4.90亿,11.49亿,12.40%,24.30亿,5.11亿
2017,,,12.48,,15.94,14.14%,2.18亿,-6.30%,3.90,6.89亿,9.90亿,13.89%,20.79亿,3.90亿
2016,,,18.2,,13.97,20.84%,2.32亿,10.34%,3.60,7.48亿,8.59亿,16.53%,19.01亿,3.18亿
2015,,,26.33,,11.56,-5.10%,2.11亿,-27.86%,3.27,6.51亿,7.06亿,18.16%,17.26亿,2.98亿
2014,,,19.05,,12.18,9.28%,2.92亿,1.26%,2.55,3.81亿,6.12亿,24.64%,12.68亿,2.80亿
2013,,,14.96,,11.14,9.94%,2.88亿,20.22%,2.30,4.74亿,4.58亿,27.05%,12.08亿,2.19亿
2012,,,9.12,,10.14,16.00%,2.40亿,5.77%,2.07,5.32亿,3.71亿,24.98%,10.86亿,1.73亿
2011,,,8.58,,8.74,11.85%,2.27亿,0.66%,1.99,5.88亿,3.46亿,27.01%,10.26亿,1.20亿
2010,,,14.73,,7.81,25.78%,2.25亿,10.24%,1.83,5.72亿,2.87亿,30.19%,9.31亿,1.02亿
