报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-11,34.298,1.4733,23.28,1.89,34.85%,1507.04万,100.33%,13.55,18.1471,226.9006,1.7181,PE；PB,4.84亿,6.20亿,7.04%,20.08亿,1.33亿,,,杨学新
2026-03-31,34.298,1.4733,23.28,1.89,34.85%,1507.04万,100.33%,13.55,4.5368,226.9006,1.7181,PE；PB,4.84亿,6.20亿,7.04%,20.08亿,1.33亿,,,杨学新
2025,34.475,1.4733,23.4,6.92,8.65%,5120.71万,-31.79%,13.53,4.9819,67.2994,1.7295,PE；PB,5.75亿,6.05亿,6.90%,20.08亿,1.21亿,0.485,,杨学新
2024,33.901,1.4733,23.01,6.36,-7.33%,7507.80万,-44.78%,13.73,5.3303,42.6111,1.6759,PE；PB,8.85亿,6.31亿,11.74%,20.36亿,1.18亿,,,杨学新
2023,,,,6.87,-10.07%,1.36亿,-25.91%,11.1,,,,PE；PB,1.64亿,5.64亿,19.80%,12.26亿,1.10亿,,,杨学新
2022,,,,7.64,17.92%,1.84亿,34.26%,9.79,,,,PE；PB,8776.23万,4.41亿,24.03%,10.82亿,9663.92万,,,杨学新
2021,,,,6.48,40.81%,1.37亿,108.17%,8.05,,,,PE；PB,5693.69万,2.76亿,21.10%,8.89亿,7581.29万,,,杨学新
2020,,,,4.6,64.58%,6566.19万,1951.30%,6.39,,,,PE；PB,2837.53万,1.53亿,14.27%,6.86亿,4544.50万,,,杨学新
2019,,,,2.79,-27.01%,320.10万,-95.34%,5.72,,,,PE；PB,5226.03万,9398.04万,1.15%,6.14亿,4258.71万,,,杨学新
2018,,,,3.83,7.16%,6862.50万,250.85%,5.63,,,,PE；PB,9221.94万,4914.37万,17.92%,6.04亿,5329.65万,,,杨学新
2017,,,,3.57,28.76%,1955.94万,-64.82%,4.03,,,,PE；PB,8282.27万,8267.88万,5.47%,3.84亿,4776.21万,,,杨学新
2016,,,,2.78,False,5559.08万,False,1.96,,,,PE；PB,1214.13万,6507.54万,20.03%,1.47亿,3448.02万,,,杨学新
