报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,37.908,6.0556,6.26,2.7,-5.38%,-1507.35万,-0.51%,2.5,14.04,,2.504,PE；PB,5.39亿,-4.75亿,-5.65%,15.25亿,4.39亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,广州工控资本管理有限公司
2026-03-31,37.908,6.0556,6.26,2.7,-5.38%,-1507.35万,-0.51%,2.5,3.51,,2.504,PE；PB,5.39亿,-4.75亿,-5.65%,15.25亿,4.39亿,,,广州工控资本管理有限公司
2025,47.932,5.5865,8.58,17.25,8.67%,-1518.24万,-236.58%,2.52,2.7787,,3.4048,PE；PB,5.66亿,-4.60亿,-0.89%,15.42亿,4.08亿,,,广州工控资本管理有限公司
2024,40.67,5.5865,7.28,15.88,4.63%,1111.63万,-37.69%,2.37,2.5611,365.8291,3.0717,PE；PB,3.11亿,-4.44亿,0.70%,13.36亿,3.90亿,,,广州工控资本管理有限公司
2023,44.58,5.5865,7.98,15.18,19.57%,1783.90万,109.08%,2.35,2.9368,250.1567,3.3957,PE；PB,2.91亿,-4.56亿,1.20%,13.28亿,3.62亿,,,广州工控资本管理有限公司
2022,30.391,5.5865,5.44,12.69,-8.15%,-1.96亿,-1085.89%,2.31,2.3949,,2.355,PE；PB,2.96亿,-4.73亿,-15.48%,13.06亿,3.20亿,,,广州工控资本管理有限公司
2021,38.379,5.5865,6.87,13.82,13.28%,1992.96万,104.24%,2.66,2.7771,192.437,2.5827,PE；PB,2.46亿,-2.77亿,1.44%,14.87亿,3.38亿,,,广州工控资本管理有限公司
2020,37.932,5.5865,6.79,12.2,-23.77%,-4.70亿,-1200.40%,2.64,3.1092,,2.572,PE；PB,3.44亿,-2.97亿,-38.80%,14.75亿,3.41亿,,,广州工控资本管理有限公司
2019,33.016,5.5865,5.91,16.0,17.90%,4268.27万,107.40%,3.5,2.0635,77.356,1.6886,PE；PB,2.37亿,1.73亿,2.38%,19.57亿,3.34亿,,,广州工控资本管理有限公司
2018,33.798,5.5865,6.05,13.57,9.75%,-5.77亿,-882.12%,3.4,2.4906,,1.7794,PE；PB,2.09亿,1.15亿,-42.54%,19.01亿,3.86亿,0.02,,广州工控资本管理有限公司
2017,,,10.33,12.37,29.62%,7373.11万,-33.71%,4.45,,76.0118,2.3213,PE；PB,3.04亿,7.03亿,6.60%,24.84亿,3.22亿,0.03,,广州工控资本管理有限公司
2016,,,20.62,9.54,-16.65%,1.11亿,-57.69%,4.08,,98.0038,5.0539,PE；PB,2.51亿,6.47亿,11.66%,21.66亿,2.72亿,0.0597569,,广州工控资本管理有限公司
2015,,,29.58,11.45,43.84%,2.63亿,50.44%,3.93,,59.0419,7.5267,PE；PB,1.72亿,5.74亿,22.93%,20.73亿,2.58亿,0.059833700000000004,,广州工控资本管理有限公司
2014,,,17.09,7.96,76.14%,1.75亿,206.83%,3.48,,44.2402,4.9109,PE；PB,3.72亿,3.67亿,21.96%,18.20亿,1.46亿,0.0596603,,广州工控资本管理有限公司
2013,,,8.37,4.52,65.89%,5694.40万,376.38%,3.37,,33.9829,2.4837,PE；PB,2.64亿,2.08亿,12.59%,7.78亿,5111.23万,0.02,,广州工控资本管理有限公司
2012,,,4.07,2.72,-11.86%,1195.34万,-83.10%,4.69,,52.7886,0.8678,PE；PB,2.22亿,1.56亿,3.86%,7.23亿,4668.40万,0.27999999999999997,,广州工控资本管理有限公司
2011,,,4.31,3.09,4.60%,7074.52万,1.97%,7.49,,9.506,0.5754,PE；PB,3.99亿,1.74亿,22.77%,7.94亿,3211.11万,0.18,,广州工控资本管理有限公司
2010,,,9.59,2.95,20.37%,6938.12万,14.97%,6.65,,14.2032,1.4421,PE；PB,4.43亿,1.23亿,23.47%,6.82亿,5151.78万,0.32,,广州工控资本管理有限公司
