报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,33.385,5.5091,6.06,4.87,-12.71%,663.72万,-4.73%,4.87,6.8552,606.0,1.2444,PS；PE,13.01亿,13.21亿,1.15%,26.99亿,6.09亿,,40%: 最新年度营业收入下滑；最新年度净利润同比下降,辽宁出版集团有限公司
2026-03-31,33.385,5.5091,6.06,4.87,-12.71%,663.72万,-4.73%,4.87,1.7138,606.0,1.2444,PS；PE,13.01亿,13.21亿,1.15%,26.99亿,6.09亿,,,辽宁出版集团有限公司
2025,37.848,5.5091,6.87,20.96,-13.63%,1.05亿,2.79%,4.86,1.8057,36.1579,1.4136,PS；PE,15.66亿,13.14亿,4.75%,26.93亿,6.02亿,0.06,,辽宁出版集团有限公司
2024,34.267,5.5091,6.22,24.26,0.60%,1.02亿,-8.87%,4.73,1.4125,32.7368,1.315,PS；PE,13.36亿,12.64亿,4.09%,26.26亿,7.72亿,0.062,,辽宁出版集团有限公司
2023,40.161,5.5091,7.29,24.12,-7.64%,1.12亿,48.77%,4.61,1.665,36.45,1.5813,PS；PE,12.99亿,12.25亿,4.10%,25.60亿,8.19亿,0.041999999999999996,,辽宁出版集团有限公司
2022,35.148,5.5091,6.38,26.11,-8.98%,7536.42万,-30.71%,4.44,1.3462,45.5714,1.4369,PS；PE,10.85亿,11.45亿,2.82%,24.82亿,8.61亿,0.06,,辽宁出版集团有限公司
2021,37.186,5.5091,6.75,28.69,12.85%,1.09亿,-28.78%,4.36,1.2961,33.75,1.5482,PS；PE,9.72亿,11.12亿,3.72%,24.42亿,8.23亿,0.08499999999999999,,辽宁出版集团有限公司
2020,31.071,5.5091,5.64,25.42,-6.22%,1.53亿,2.98%,4.3,1.2223,20.1429,1.3116,PS；PE,9.38亿,10.94亿,6.05%,24.03亿,7.87亿,0.08199999999999999,,辽宁出版集团有限公司
2019,30.851,5.5091,5.6,27.11,15.62%,1.48亿,-16.57%,4.1,1.138,20.7407,1.3659,PS；PE,7.27亿,10.03亿,5.54%,22.87亿,7.53亿,0.11000000000000001,,辽宁出版集团有限公司
2018,25.727,5.5091,4.67,23.44,21.08%,1.78亿,10.34%,3.97,1.0976,14.5938,1.1763,PS；PE,2.50亿,9.44亿,7.60%,21.99亿,6.43亿,0.088,,辽宁出版集团有限公司
2017,,,6.73,19.31,10.04%,1.61亿,19.57%,3.74,,23.2069,1.7995,PS；PE,4.44亿,8.27亿,8.35%,20.61亿,6.07亿,0.047,,辽宁出版集团有限公司
2016,,,10.12,17.55,5.18%,1.35亿,72.60%,3.51,,42.1667,2.8832,PS；PE,5.37亿,5.96亿,7.50%,19.11亿,5.21亿,0.044,,辽宁出版集团有限公司
2015,,,11.41,15.59,2.77%,7804.91万,4.05%,3.38,,81.5,3.3757,PS；PE,8.86亿,6.27亿,5.22%,19.10亿,6.91亿,0.040999999999999995,,辽宁出版集团有限公司
2014,,,9.39,14.96,12.66%,7500.92万,7.10%,3.28,,67.0714,2.8628,PS；PE,8.76亿,5.83亿,5.04%,18.09亿,6.86亿,0.039,,辽宁出版集团有限公司
2013,,,5.88,13.28,4.72%,7003.41万,3.34%,3.18,,45.2308,1.8491,PS；PE,4.34亿,5.44亿,5.30%,17.54亿,5.85亿,0.037,,辽宁出版集团有限公司
2012,,,5.53,12.68,-8.97%,6777.14万,0.28%,3.09,,46.0833,1.7896,PS；PE,8.75亿,5.07亿,5.37%,17.04亿,6.03亿,,,辽宁出版集团有限公司
2011,,,6.9,13.93,4.86%,6758.33万,-47.95%,2.97,,57.5,2.3232,PS；PE,7.66亿,4.63亿,4.89%,16.36亿,6.50亿,0.03,,辽宁出版集团有限公司
2010,,,9.35,13.28,2.82%,1.30亿,0.41%,2.88,,38.9583,3.2465,PS；PE,7.45亿,4.18亿,9.78%,15.85亿,6.36亿,0.02,,辽宁出版集团有限公司
