报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,未分配利润,销售净利率,股东权益,股息,ST风险,控股股东
2026-06-12,20267.161,3222.1241,6.29,1788.46,8.44%,566.31亿,4.17%,8.48,11.3322,34.9444,0.7417,PB；PE,1.34万亿,34.08%,3.25万亿,,,中央汇金投资有限责任公司
2026-03-31,20267.161,3222.1241,6.29,1788.46,8.44%,566.31亿,4.17%,8.48,2.833,34.9444,0.7417,PB；PE,1.34万亿,34.08%,3.25万亿,,,中央汇金投资有限责任公司
2025,16868.42,2943.8779,5.73,6583.1,4.48%,2430.21亿,2.18%,8.36,2.5624,7.7432,0.6854,PB；PE,1.28万亿,39.18%,3.21万亿,0.3518,,中央汇金投资有限责任公司
2024,15219.849,2943.8779,5.17,6300.9,1.16%,2378.41亿,2.56%,8.18,2.4155,6.8933,0.632,PB；PE,1.19万亿,40.11%,2.95万亿,0.2364,,中央汇金投资有限责任公司
2023,10480.205,2943.8779,3.56,6228.89,6.41%,2319.04亿,2.38%,7.58,1.6825,4.8108,0.4697,PB；PE,1.13万亿,39.55%,2.76万亿,0.23199999999999998,,中央汇金投资有限责任公司
2022,7830.715,2943.8779,2.66,5853.67,2.06%,2265.22亿,4.60%,6.99,1.3377,3.6944,0.3805,PB；PE,1.05万亿,38.43%,2.56万亿,0.221,,中央汇金投资有限责任公司
2021,7035.868,2943.8779,2.39,6055.59,7.08%,2165.59亿,12.28%,6.47,1.1619,3.4143,0.3694,PB；PE,9569.87亿,37.54%,2.35万亿,0.197,,中央汇金投资有限责任公司
2020,6918.113,2943.8779,2.35,5655.31,2.98%,1928.70亿,2.92%,5.98,1.2233,3.8525,0.393,PB；PE,8648.48亿,36.27%,2.16万亿,0.191,,中央汇金投资有限责任公司
2019,7595.205,2943.8779,2.58,5491.82,8.94%,1874.05亿,4.06%,5.61,1.383,4.2295,0.4599,PB；PE,7769.40亿,36.76%,1.98万亿,0.184,,中央汇金投资有限责任公司
2018,7065.307,2943.8779,2.4,5041.07,4.31%,1800.86亿,4.45%,5.14,1.4015,4.0678,0.4669,PB；PE,6864.05亿,38.17%,1.73万亿,0.176,,中央汇金投资有限责任公司
2017,,,2.52,4832.78,-0.07%,1724.07亿,4.76%,4.74,,4.5,0.5316,PB；PE,6465.58亿,38.28%,1.58万亿,0.16799999999999998,,中央汇金投资有限责任公司
2016,,,2.09,4836.3,1.96%,1645.78亿,-3.67%,4.46,,3.8704,0.4686,PB；PE,5603.39亿,38.06%,1.49万亿,0.175,,中央汇金投资有限责任公司
2015,,,2.31,4743.21,3.94%,1708.45亿,0.74%,4.09,,4.125,0.5648,PB；PE,4821.81亿,37.83%,1.36万亿,0.19,,中央汇金投资有限责任公司
2014,,,2.3,4563.31,11.98%,1695.95亿,8.08%,3.7,,3.7705,0.6216,PB；PE,4078.36亿,38.83%,1.18万亿,0.196,,中央汇金投资有限责任公司
2013,,,1.35,4075.08,11.31%,1569.11亿,12.36%,3.31,,2.4107,0.4079,PB；PE,3237.76亿,40.18%,9614.77亿,0.175,,中央汇金投资有限责任公司
2012,,,1.41,3660.91,11.56%,1396.56亿,12.38%,2.95,,2.82,0.478,PB；PE,2428.99亿,39.75%,8615.42亿,0.155,,中央汇金投资有限责任公司
2011,,,1.34,3281.66,18.55%,1242.76亿,19.02%,2.59,,2.9778,0.5174,PB；PE,2105.99亿,39.71%,7571.37亿,0.146,,中央汇金投资有限责任公司
2010,,,1.42,2768.17,19.22%,1044.18亿,29.20%,2.31,,3.641,0.6147,PB；PE,1483.55亿,39.63%,6761.50亿,0.13999999999999999,,中央汇金投资有限责任公司
