报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,112.802,28.7759,3.92,4.3252,6.52,-12.63%,2837.02万,230.61%,0.59,7.17亿,-40.36亿,4.35%,16.85亿,1.10亿
2025,108.484,28.7756,3.77,3.5337,30.7,0.63%,5296.01万,164.41%,0.54,7.33亿,-40.65亿,1.73%,15.58亿,1.06亿
2024,92.953,28.7779,3.23,3.0466,30.51,6.73%,2002.93万,-77.76%,0.58,7.59亿,-41.18亿,0.66%,16.58亿,8447.42万
2023,69.006,28.6332,2.41,2.4145,28.58,12.43%,9007.77万,126.78%,0.56,7.37亿,-41.38亿,3.15%,15.90亿,1.34亿
2022,71.374,28.1,2.54,2.8078,25.42,0.88%,-3.36亿,77.52%,0.52,11.37亿,-42.28亿,-13.23%,14.60亿,1.42亿
2021,31.434,12.8302,2.45,1.2474,25.2,-16.40%,-14.96亿,-720.51%,-1.13,5.07亿,-38.92亿,-59.34%,-14.45亿,9855.39万
2020,22.196,12.8302,1.73,0.7364,30.14,4.16%,-1.82亿,-372.72%,0.07,5.05亿,-23.96亿,-6.05%,9261.20万,8936.44万
2019,24.249,12.8302,1.89,0.8379,28.94,-20.20%,6685.75万,103.38%,0.24,6.24亿,-22.15亿,2.31%,3.13亿,11.03亿
2018,25.532,12.8302,1.99,0.7041,36.26,22.14%,-19.81亿,-169.47%,0.17,4.61亿,-22.81亿,-54.62%,2.15亿,12.23亿
2017,,,5.27,,29.69,-13.54%,-7.35亿,-397.40%,1.69,13.53亿,-3.01亿,-24.76%,21.68亿,17.55亿
2016,,,17.37,,34.34,62.68%,2.47亿,-26.82%,2.32,18.42亿,4.35亿,7.87%,29.07亿,19.10亿
2015,,,28.62,,21.42,25.18%,3.38亿,30.87%,2.27,18.42亿,3.47亿,14.17%,30.31亿,9580.37万
2014,,,10.29,,15.79,42.30%,2.58亿,84.70%,2.29,7.93亿,5.90亿,16.53%,27.72亿,3574.87万
2013,,,7.17,,8.12,4.17%,1.40亿,33.23%,1.97,3.39亿,-7451.76万,5.97%,3.38亿,3915.42万
2012,,,4.04,,20.2,52.83%,1.05亿,1.87%,1.85,2.49亿,2.00亿,5.69%,14.88亿,3.16亿
2011,,,4.06,,13.22,14.35%,1.03亿,-4.73%,1.71,3.32亿,9923.02万,8.13%,13.46亿,3.39亿
2010,,,5.65,,11.56,-5.13%,1.08亿,914.69%,1.52,2.28亿,-4319.87万,9.51%,12.05亿,2.74亿
