报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,24.255,3.234,7.5,2.9,56.78%,-3945.74万,12.33%,2.23,8.3638,,3.3632,PB；PE,1.01亿,-11.36亿,-14.00%,8.49亿,2.09亿,,,曲靖市发展投资集团有限公司
2026-03-31,24.255,3.234,7.5,2.9,56.78%,-3945.74万,12.33%,2.23,2.0909,,3.3632,PB；PE,1.01亿,-11.36亿,-14.00%,8.49亿,2.09亿,,,曲靖市发展投资集团有限公司
2025,27.23,3.234,8.42,14.46,14.69%,-1.78亿,-125.75%,2.36,1.8831,,3.5678,PB；PE,1.68亿,-10.97亿,-12.43%,7.59亿,1.64亿,,,曲靖市发展投资集团有限公司
2024,18.24,3.234,5.64,12.6,-18.05%,-7885.59万,62.29%,2.92,1.4476,,1.9315,PB；PE,2.48亿,-9.19亿,-6.48%,9.43亿,1.60亿,,,曲靖市发展投资集团有限公司
2023,24.19,3.234,7.48,15.38,-21.88%,-2.09亿,11.56%,3.19,1.5728,,2.3448,PB；PE,3.18亿,-8.40亿,-13.76%,10.33亿,1.95亿,,,曲靖市发展投资集团有限公司
2022,21.603,3.234,6.68,19.69,7.89%,-2.36亿,-873.43%,3.82,1.0972,,1.7487,PB；PE,2.50亿,-6.31亿,-12.38%,12.79亿,3.53亿,,,曲靖市发展投资集团有限公司
2021,26.454,3.234,8.18,18.25,5.93%,3057.46万,124.01%,4.54,1.4495,90.8889,1.8018,PB；PE,2.67亿,-3.94亿,1.48%,15.05亿,2.52亿,,,曲靖市发展投资集团有限公司
2020,26.228,3.234,8.11,17.23,-7.72%,-1.27亿,-598.08%,4.45,1.5222,,1.8225,PB；PE,3.21亿,-4.25亿,-7.42%,14.81亿,2.57亿,,,曲靖市发展投资集团有限公司
2019,24.093,3.234,7.45,18.67,73.82%,2556.54万,109.92%,4.84,1.2905,93.125,1.5393,PB；PE,2.51亿,-2.97亿,1.28%,15.66亿,2.27亿,,,曲靖市发展投资集团有限公司
2018,21.538,3.234,6.66,10.74,-33.66%,-2.58亿,-566.22%,4.76,2.0054,,1.3992,PB；PE,9019.30万,-3.23亿,-24.07%,15.48亿,2.77亿,,,曲靖市发展投资集团有限公司
2017,,,17.7,16.19,61.28%,5528.97万,-33.32%,5.57,,104.1176,3.1777,PB；PE,8400.71万,-6511.55万,3.38%,18.10亿,4.31亿,,,曲靖市发展投资集团有限公司
2016,,,22.16,10.04,6.88%,8291.35万,367.67%,3.31,,71.4839,6.6949,PB；PE,1.94亿,-1.18亿,8.13%,9.08亿,2.84亿,,,曲靖市发展投资集团有限公司
2015,,,19.76,9.39,41.28%,1772.92万,-32.71%,3.01,,282.2857,6.5648,PB；PE,2.03亿,-2.01亿,1.83%,8.27亿,1.41亿,,,曲靖市发展投资集团有限公司
2014,,,14.19,6.65,-22.30%,2634.77万,151.60%,2.93,,141.9,4.843,PB；PE,1.43亿,-2.19亿,3.51%,8.07亿,1.63亿,,,曲靖市发展投资集团有限公司
2013,,,7.58,8.55,-32.22%,-5105.95万,-344.73%,2.82,,,2.6879,PB；PE,1.96亿,-2.45亿,-5.89%,7.82亿,2.54亿,,,曲靖市发展投资集团有限公司
2012,,,7.93,12.62,0.35%,2086.34万,107.38%,1.08,,72.0909,7.3426,PB；PE,7316.49万,-1.90亿,1.69%,2.14亿,1.59亿,,,曲靖市发展投资集团有限公司
2011,,,6.68,12.58,3.96%,-2.83亿,-1618.31%,0.97,,,6.8866,PB；PE,4598.98万,-2.11亿,-22.43%,1.95亿,4.29亿,,,曲靖市发展投资集团有限公司
2010,,,16.68,12.1,6.40%,-1645.19万,-307.29%,2.5,,,6.672,PB；PE,1.27亿,7145.72万,-1.01%,4.77亿,5.12亿,,,曲靖市发展投资集团有限公司
