报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2026-03-31,416.7,4.5,92.6,6.5767,15.84,44.19%,6.36亿,54.94%,17.21,31.59亿,36.42亿,40.16%,77.44亿,6522.16万
2025,468.675,4.5,104.15,9.0356,51.87,45.80%,21.89亿,53.10%,15.74,31.86亿,30.05亿,42.20%,70.83亿,7165.94万
2024,265.95,4.5,59.1,7.4747,35.58,76.29%,14.30亿,121.97%,11.74,33.46亿,12.45亿,40.19%,52.83亿,3055.66万
2023,180.945,4.5,40.21,8.9666,20.18,155.14%,6.44亿,393.54%,8.85,22.82亿,2.29亿,31.92%,39.82亿,6294.87万
2022,82.035,4.5,18.23,10.371,7.91,49.22%,1.31亿,614.22%,7.08,20.37亿,-3.80亿,16.50%,31.87亿,3207.27万
2021,129.375,4.5,28.75,24.4104,5.3,94409.96%,1827.46万,105.89%,6.61,22.40亿,-5.11亿,3.45%,29.73亿,2079.68万
2020,121.635,4.5,27.03,21685.6837,0.005609,-10.93%,-3.11亿,21.88%,6.40,25.91亿,-5.29亿,-55361.44%,28.78亿,1078.29万
2019,,,,,0.006297,-86.37%,-3.98亿,-308.14%,3.29,9.47亿,-2.18亿,-63123.32%,11.84亿,25.21万
2018,,,,,0.0462,-40.21%,-9739.38万,-150.15%,1.42,1.29亿,-402.87万,-2108.11%,7103.59万,4.16万
2017,,,,,0.07727,False,-3893.38万,False,7.63,5893.68万,3.06亿,-503.87%,3.81亿,3.21万
