报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,79.574,8.4473,9.42,9.33,24.28%,-1170.01万,10.30%,0.04,8.5288,,235.5,PS；PE,7779.36万,-8.13亿,-0.35%,4.06亿,2.55亿,,,浙江舜元控股有限公司
2026-03-31,79.574,8.4473,9.42,9.33,24.28%,-1170.01万,10.30%,0.04,2.1322,,235.5,PS；PE,7779.36万,-8.13亿,-0.35%,4.06亿,2.55亿,,,浙江舜元控股有限公司
2025,61.954,8.3949,7.38,47.48,16.34%,-8235.10万,-32.89%,0.05,1.3048,,147.6,PS；PE,1.47亿,-8.01亿,-1.11%,4.13亿,2.66亿,,,浙江舜元控股有限公司
2024,70.661,8.4929,8.32,40.81,17.72%,-6197.04万,-3.19%,0.06,1.7315,,138.6667,PS；PE,3062.58万,-7.18亿,-0.64%,3.96亿,1.70亿,,,浙江舜元控股有限公司
2023,55.368,8.1663,6.78,34.67,10.97%,-6005.75万,-502.94%,0.05,1.597,,135.6,PS；PE,1664.71万,-6.57亿,-0.90%,3.36亿,3.96亿,,,浙江舜元控股有限公司
2022,57.327,8.1663,7.02,31.24,8.10%,1490.47万,360.34%,0.1,1.8351,383.6066,70.2,PS；PE,4364.24万,-5.96亿,2.05%,3.48亿,2.08亿,,,浙江舜元控股有限公司
2021,,8.1663,,28.9,312.88%,323.77万,-68.00%,0.04,,,,PS；PE,2014.85万,-6.11亿,1.93%,2.35亿,2.28亿,,,浙江舜元控股有限公司
2020,18.374,8.1663,2.25,7.0,16849.85%,1011.93万,104.91%,0.02,2.6249,181.4516,112.5,PS；PE,3.19亿,-6.15亿,3.55%,1.69亿,8750.99万,,,浙江舜元控股有限公司
2019,17.394,8.1663,2.13,0.041296,-95.97%,-2.06亿,-21.23%,-0.03,421.203,,,PS；PE,897.65万,-6.10亿,-5021.50%,-3171.89万,279.07万,,,浙江舜元控股有限公司
2018,25.969,8.1663,3.18,1.03,-57.45%,-1.70亿,45.97%,0.24,25.2126,,13.25,PS；PE,3169.90万,-4.04亿,-167.63%,1.97亿,737.56万,,,浙江舜元控股有限公司
2017,,,6.9,2.41,-49.39%,-3.15亿,-1468.55%,0.44,,,15.6818,PS；PE,5631.60万,-2.34亿,-128.84%,3.65亿,1122.00万,,,浙江舜元控股有限公司
2016,,,7.96,4.76,38.13%,2299.36万,299.08%,0.84,,282.2695,9.4762,PS；PE,8426.34万,8092.38万,4.63%,6.83亿,5072.94万,,,浙江舜元控股有限公司
2015,,,15.86,3.45,97.16%,-1155.00万,-322.66%,0.66,,,24.0303,PS；PE,9570.91万,5793.02万,-3.89%,5.38亿,6948.53万,,,浙江舜元控股有限公司
2014,,,9.91,1.75,5.36%,518.74万,-56.10%,0.61,,943.8095,16.2459,PS；PE,2.19亿,7179.81万,2.79%,5.40亿,2.60亿,,,浙江舜元控股有限公司
2013,,,5.07,1.66,-9.03%,1181.68万,382.85%,0.79,,75.0,6.4177,PS；PE,2422.84万,6661.09万,4.16%,1.12亿,3241.15万,,,浙江舜元控股有限公司
2012,,,,1.18,111.52%,244.73万,13.93%,0.77,,,,PS；PE,9432.96万,-6.55亿,2.08%,2.34亿,6767.65万,,,浙江舜元控股有限公司
2011,,,,0.55683,-46.29%,214.80万,-79.64%,0.76,,,,PS；PE,1.03亿,-6.58亿,3.86%,2.08亿,1.03亿,,,浙江舜元控股有限公司
2010,,,,1.04,-18.15%,1055.07万,184.96%,0.75,,,,PS；PE,1.47亿,-6.60亿,10.79%,2.05亿,9372.73万,,,浙江舜元控股有限公司
