报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,129.972,8.0329,16.18,26.88,36.14%,-2489.46万,-369.39%,7.37,4.8353,,2.1954,PB；PE,39.54亿,27.93亿,1.81%,94.78亿,194.93亿,,20%: 最新年度净利润同比下降,合肥兴泰金融控股(集团)有限公司
2026-03-31,129.972,8.0329,16.18,26.88,36.14%,-2489.46万,-369.39%,7.37,1.2088,,2.1954,PB；PE,39.54亿,27.93亿,1.81%,94.78亿,194.93亿,,,合肥兴泰金融控股(集团)有限公司
2025,99.447,8.0329,12.38,101.02,31.26%,-5.21亿,-820.14%,7.4,0.9844,,1.673,PB；PE,33.12亿,28.18亿,-2.83%,94.35亿,211.18亿,,,合肥兴泰金融控股(集团)有限公司
2024,57.114,8.0329,7.11,76.96,-2.55%,-5657.25万,-125.78%,8.05,0.7421,,0.8832,PB；PE,53.65亿,33.38亿,1.24%,97.53亿,228.93亿,0.08499999999999999,,合肥兴泰金融控股(集团)有限公司
2023,50.447,8.0329,6.28,78.97,96.17%,2.19亿,-34.37%,8.21,0.6388,23.2593,0.7649,PB；PE,43.66亿,34.63亿,5.04%,107.01亿,249.74亿,0.05,,合肥兴泰金融控股(集团)有限公司
2022,52.535,8.0329,6.54,40.26,-46.73%,3.34亿,-61.88%,7.98,1.3049,15.5714,0.8195,PB；PE,47.01亿,32.84亿,10.02%,94.06亿,230.69亿,0.1,,合肥兴泰金融控股(集团)有限公司
2021,59.845,8.0329,7.45,75.57,41.01%,8.77亿,14.24%,7.67,0.7919,6.8349,0.9713,PB；PE,35.71亿,31.33亿,11.91%,71.10亿,162.34亿,0.1,,合肥兴泰金融控股(集团)有限公司
2020,40.409,5.1216,7.89,53.59,53.31%,7.68亿,47.00%,6.68,0.754,7.5916,1.1811,PB；PE,33.08亿,23.63亿,16.80%,60.01亿,129.11亿,0.036989499999999995,,合肥兴泰金融控股(集团)有限公司
2019,20.198,3.201,6.31,34.96,42.27%,5.22亿,110.95%,4.21,0.5777,8.3654,1.4988,PB；PE,32.57亿,15.73亿,18.48%,42.49亿,135.93亿,0.1,,合肥兴泰金融控股(集团)有限公司
2018,18.566,3.201,5.8,19.71,-28.36%,2.48亿,86.46%,5.82,0.942,12.0008,0.9966,PB；PE,21.49亿,10.35亿,14.92%,19.97亿,99.49亿,0.1,,合肥兴泰金融控股(集团)有限公司
2017,,,5.31,27.52,4.77%,1.33亿,22.07%,5.45,,12.8014,0.9743,PB；PE,25.52亿,8.46亿,6.05%,18.68亿,70.74亿,0.1,,合肥兴泰金融控股(集团)有限公司
2016,,,9.28,26.27,39.64%,1.09亿,18.84%,5.13,,27.2941,1.809,PB；PE,17.25亿,7.54亿,3.83%,17.34亿,43.33亿,0.05,,合肥兴泰金融控股(集团)有限公司
2015,,,14.09,18.81,6.86%,9151.96万,-46.99%,4.84,,48.5862,2.9112,PB；PE,10.79亿,6.74亿,4.67%,16.49亿,54.79亿,0.1,,合肥兴泰金融控股(集团)有限公司
2014,,,4.73,17.6,11.73%,1.73亿,9.29%,4.66,,8.7593,1.015,PB；PE,7.96亿,6.32亿,9.78%,15.05亿,43.87亿,0.1,,合肥兴泰金融控股(集团)有限公司
2013,,,3.69,15.75,30.14%,1.58亿,2.38%,4.22,,7.5306,0.8744,PB；PE,7.74亿,5.14亿,10.01%,13.65亿,35.26亿,0.05,,合肥兴泰金融控股(集团)有限公司
2012,,,3.96,12.11,10.41%,1.54亿,-4.15%,3.77,,8.25,1.0504,PB；PE,5.58亿,4.07亿,12.72%,12.23亿,29.36亿,0.1,,合肥兴泰金融控股(集团)有限公司
2011,,,3.07,10.97,29.35%,1.61亿,16.52%,3.39,,6.14,0.9056,PB；PE,5.23亿,3.15亿,14.64%,11.01亿,24.58亿,0.1,,合肥兴泰金融控股(集团)有限公司
2010,,,5.98,8.48,13.28%,1.38亿,24.63%,2.99,,13.907,2.0,PB；PE,3.09亿,2.08亿,16.27%,9.72亿,13.16亿,0.06,,合肥兴泰金融控股(集团)有限公司
