报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,78.132,6.9082,11.31,4.92,1.13%,1691.40万,-13.28%,1.43,15.8805,461.6327,7.9091,PE；PB,4.07亿,1.58亿,4.77%,11.74亿,4.67亿,,20%: 最新年度净利润同比下降,广州蕙富博衍投资合伙企业(有限合伙)
2026-03-31,78.132,6.9082,11.31,4.92,1.13%,1691.40万,-13.28%,1.43,3.9701,461.6327,7.9091,PE；PB,4.07亿,1.58亿,4.77%,11.74亿,4.67亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2025,57.545,6.9082,8.33,22.39,-7.46%,1.02亿,8.40%,1.4,2.5701,56.4363,5.95,PE；PB,2.66亿,1.41亿,6.32%,11.50亿,3.25亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2024,41.864,6.9082,6.06,24.2,17.06%,9405.25万,46.10%,1.26,1.7299,44.5261,4.8095,PE；PB,2.17亿,3877.99万,5.49%,10.32亿,3.03亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2023,32.399,6.9082,4.69,20.67,16.53%,6437.41万,104.31%,1.12,1.5674,50.3219,4.1875,PE；PB,1.79亿,-5293.27万,4.34%,9.18亿,2.85亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2022,26.113,6.9082,3.78,17.74,21.60%,3150.87万,346.94%,1.03,1.472,82.8947,3.6699,PE；PB,2.34亿,-1.15亿,2.91%,8.54亿,3.05亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2021,32.399,6.9082,4.69,14.59,-1.28%,-1275.98万,-114.85%,0.99,2.2206,,4.7374,PE；PB,2.12亿,-1.45亿,-1.39%,8.13亿,2.93亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2020,21.001,6.9082,3.04,14.78,7.57%,8592.82万,2838.29%,1.01,1.4209,24.5161,3.0099,PE；PB,2.73亿,-1.32亿,5.79%,9.51亿,2.96亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2019,18.998,6.9082,2.75,13.74,-85.63%,292.44万,100.30%,0.89,1.3827,687.5,3.0899,PE；PB,3.13亿,-2.17亿,-0.75%,8.75亿,2.39亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2018,17.478,6.9082,2.53,95.59,15.63%,-9.68亿,-2634.05%,0.88,0.1828,,2.875,PE；PB,1.75亿,-2.23亿,-12.84%,9.40亿,2.80亿,0.015,,广州蕙富博衍投资合伙企业(有限合伙)
2017,,,10.56,82.67,90.55%,3819.00万,-83.15%,2.29,,176.0,4.6114,PE；PB,2.33亿,7.55亿,0.81%,21.79亿,5.33亿,0.05,,广州蕙富博衍投资合伙企业(有限合伙)
2016,,,12.71,43.38,5.04%,2.27亿,83.09%,2.29,,38.5152,5.5502,PE；PB,3.39亿,7.52亿,6.03%,20.61亿,2.14亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2015,,,10.09,41.3,6.00%,1.24亿,-2.64%,1.99,,56.0556,5.0704,PE；PB,2.64亿,5.44亿,4.16%,21.18亿,5.43亿,0.05,,广州蕙富博衍投资合伙企业(有限合伙)
2014,,,5.89,38.96,68.62%,1.27亿,-30.35%,1.87,,32.7222,3.1497,PE；PB,4.25亿,4.63亿,4.11%,20.17亿,5.16亿,0.1,,广州蕙富博衍投资合伙企业(有限合伙)
2013,,,4.01,23.11,17.07%,1.83亿,146.78%,1.78,,15.4231,2.2528,PE；PB,4.59亿,4.05亿,7.94%,19.26亿,5.17亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2012,,,3.9,19.74,-2.40%,7397.87万,5.31%,1.52,,35.4545,2.5658,PE；PB,2.62亿,2.22亿,3.83%,10.97亿,3.63亿,0.05,,广州蕙富博衍投资合伙企业(有限合伙)
2011,,,4.51,20.23,-28.58%,7025.10万,-45.97%,1.46,,44.3461,3.089,PE；PB,2.18亿,2.00亿,3.48%,10.22亿,3.54亿,,,广州蕙富博衍投资合伙企业(有限合伙)
2010,,,9.71,28.32,2.88%,1.30亿,-31.21%,1.38,,51.1053,7.0362,PE；PB,3.82亿,1.41亿,5.06%,9.71亿,3.37亿,0.06,,广州蕙富博衍投资合伙企业(有限合伙)
