报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-05,25.752,2.4,10.73,5.45,7.44%,3849.00万,59.22%,5.95,4.7251,66.8953,1.8034,PE；PB,2.26亿,7.56亿,7.06%,14.29亿,1.26亿,,,江西大龙实业有限公司
2026-03-31,25.752,2.4,10.73,5.45,7.44%,3849.00万,59.22%,5.95,1.1813,66.8953,1.8034,PE；PB,2.26亿,7.56亿,7.06%,14.29亿,1.26亿,,,江西大龙实业有限公司
2025,30.984,2.4,12.91,20.05,0.99%,5760.62万,120.12%,5.79,1.5453,53.7917,2.2297,PE；PB,1.03亿,7.17亿,2.87%,13.91亿,1.04亿,0.05,,江西大龙实业有限公司
2024,19.392,2.4,8.08,19.85,-5.07%,2617.09万,43.08%,5.6,0.9769,74.1284,1.4429,PE；PB,1.22亿,6.76亿,1.32%,13.45亿,9014.84万,0.1,,江西大龙实业有限公司
2023,27.576,2.4,11.49,20.91,-19.33%,1829.11万,-89.85%,5.59,1.3188,151.1842,2.0555,PE；PB,1.65亿,6.77亿,0.68%,13.43亿,1.47亿,,,江西大龙实业有限公司
2022,23.592,2.4,9.83,25.92,19.18%,1.80亿,-7.88%,5.59,0.9102,13.0892,1.7585,PE；PB,1.54亿,6.65亿,6.96%,13.79亿,1.73亿,,,江西大龙实业有限公司
2021,26.424,2.4,11.01,21.75,52.62%,1.96亿,237.85%,4.85,1.2149,13.5092,2.2701,PE；PB,1.58亿,4.93亿,9.25%,12.05亿,1.77亿,,,江西大龙实业有限公司
2020,14.616,2.4,6.09,14.25,-15.32%,-1.42亿,-677.90%,4.04,1.0257,,1.5074,PE；PB,1.07亿,3.17亿,-9.68%,10.06亿,9928.97万,0.05,,江西大龙实业有限公司
2019,17.232,2.4,7.18,16.83,13.32%,-1824.04万,-132.05%,4.67,1.0239,,1.5375,PE；PB,7461.10万,4.71亿,-1.10%,11.54亿,9325.62万,0.1,,江西大龙实业有限公司
2018,16.248,2.4,6.77,14.85,23.58%,5690.78万,-62.20%,4.86,1.0941,28.2083,1.393,PE；PB,1.89亿,5.13亿,3.83%,11.66亿,7108.68万,0.2,,江西大龙实业有限公司
2017,,,14.17,12.01,20.05%,1.51亿,43.83%,4.83,,22.5889,2.9337,PE；PB,2.21亿,5.09亿,12.53%,11.60亿,5406.21万,0.15,,江西大龙实业有限公司
2016,,,18.77,10.01,14.40%,1.05亿,183.51%,4.35,,43.0307,4.3149,PE；PB,1.09亿,4.10亿,10.46%,10.43亿,4522.27万,0.08,,江西大龙实业有限公司
2015,,,19.25,8.75,-16.51%,3692.22万,-55.01%,7.89,,117.3065,2.4398,PE；PB,8378.24万,3.25亿,4.22%,9.46亿,4035.45万,0.15,,江西大龙实业有限公司
2014,,,,10.48,-2.95%,8207.20万,-14.87%,5.82,,,,PE；PB,6003.96万,3.10亿,7.83%,5.23亿,4254.14万,,,江西大龙实业有限公司
2013,,,,10.8,2.64%,9640.22万,19.28%,5.36,,,,PE；PB,7168.50万,2.77亿,8.93%,4.82亿,4897.53万,,,江西大龙实业有限公司
2012,,,,10.52,9.71%,8082.17万,-9.93%,4.43,,,,PE；PB,5151.44万,2.03亿,7.68%,3.99亿,5118.17万,,,江西大龙实业有限公司
2011,,,,9.59,30.02%,8973.59万,55.66%,3.56,,,,PE；PB,3716.14万,1.31亿,9.36%,3.19亿,7569.85万,,,江西大龙实业有限公司
2010,,,,7.38,24.50%,5764.76万,82.33%,2.53,,,,PE；PB,3426.65万,4977.89万,7.82%,2.27亿,4964.85万,,,江西大龙实业有限公司
