报告期,总市值,总股本,收盘,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,市销率(PS),市盈率(PE),市净率(PB),评价指标,总现金,未分配利润,销售净利率,股东权益,存货,股息,ST风险,控股股东
2026-06-12,1019.447,201.4718,5.06,185.7,4.32%,23.84亿,-7.26%,8.25,5.4898,42.1667,0.6133,PE；PB,254.67亿,729.14亿,13.92%,1816.83亿,17.28亿,,20%: 最新年度净利润同比下降,中国铁路太原局集团有限公司
2026-03-31,1019.447,201.4718,5.06,185.7,4.32%,23.84亿,-7.26%,8.25,1.3724,42.1667,0.6133,PE；PB,254.67亿,729.14亿,13.92%,1816.83亿,17.28亿,,,中国铁路太原局集团有限公司
2025,970.455,188.0727,5.16,776.45,4.04%,59.00亿,-34.73%,8.15,1.2499,17.2,0.6331,PE；PB,358.50亿,705.30亿,8.82%,1795.39亿,16.86亿,0.21999999999999997,,中国铁路太原局集团有限公司
2024,1031.449,157.4731,6.55,746.27,-7.89%,90.39亿,-24.23%,8.19,1.3821,12.8431,0.7998,PE；PB,613.47亿,694.90亿,13.77%,1699.69亿,17.00亿,0.51117,,中国铁路太原局集团有限公司
2023,961.892,148.6695,6.47,810.2,6.95%,119.30亿,6.55%,8.57,1.1872,8.1899,0.755,PE；PB,673.16亿,706.59亿,16.73%,1524.08亿,19.18亿,0.48,,中国铁路太原局集团有限公司
2022,832.547,148.6691,5.6,757.58,-3.72%,111.96亿,-8.09%,8.4,1.099,7.4667,0.6667,PE；PB,626.03亿,672.27亿,16.97%,1401.89亿,18.37亿,0.48,,中国铁路太原局集团有限公司
2021,740.366,148.6679,4.98,786.82,8.28%,121.81亿,13.14%,8.14,0.941,6.0732,0.6118,PE；PB,594.16亿,643.99亿,17.50%,1353.28亿,16.93亿,0.48,,中国铁路太原局集团有限公司
2020,692.792,148.6679,4.66,726.63,-9.50%,107.66亿,-21.24%,7.91,0.9534,6.4722,0.5891,PE；PB,520.87亿,615.17亿,17.00%,1340.00亿,18.46亿,0.48,,中国铁路太原局集团有限公司
2019,820.647,148.6679,5.52,799.17,2.01%,136.69亿,-6.02%,7.66,1.0269,6.0,0.7206,PE；PB,153.46亿,590.00亿,18.98%,1222.23亿,15.01亿,0.48,,中国铁路太原局集团有限公司
2018,777.533,148.6679,5.23,783.45,35.45%,145.44亿,8.99%,7.16,0.9924,5.3367,0.7304,PE；PB,184.76亿,538.50亿,20.61%,1144.64亿,15.47亿,0.47000000000000003,,中国铁路太原局集团有限公司
2017,,,5.46,578.39,24.68%,133.45亿,86.16%,6.69,,6.0667,0.8161,PE；PB,117.83亿,482.13亿,23.54%,1077.52亿,15.66亿,0.25,,中国铁路太原局集团有限公司
2016,,,4.13,446.25,-15.05%,71.68亿,-43.32%,6.04,,8.6042,0.6838,PE；PB,116.38亿,400.65亿,15.86%,915.74亿,16.12亿,0.45,,中国铁路太原局集团有限公司
2015,,,4.69,525.31,-2.67%,126.48亿,-10.84%,5.99,,5.5176,0.783,PE；PB,82.38亿,403.28亿,24.09%,906.11亿,17.09亿,0.48,,中国铁路太原局集团有限公司
2014,,,5.61,539.71,5.12%,141.85亿,11.77%,5.64,,5.9053,0.9947,PE；PB,98.69亿,361.62亿,26.29%,882.95亿,16.86亿,0.43,,中国铁路太原局集团有限公司
2013,,,3.64,513.43,11.13%,126.92亿,10.32%,5.18,,4.2824,0.7027,PE；PB,87.85亿,296.48亿,24.73%,772.68亿,17.87亿,0.39,,中国铁路太原局集团有限公司
2012,,,3.15,462.01,2.12%,115.04亿,-1.66%,4.72,,4.0909,0.6674,PE；PB,78.37亿,240.25亿,25.03%,704.19亿,16.93亿,0.39,,中国铁路太原局集团有限公司
2011,,,3.27,450.07,7.12%,116.99亿,12.37%,4.23,,4.1392,0.773,PE；PB,46.79亿,194.61亿,25.99%,628.37亿,14.78亿,0.35,,中国铁路太原局集团有限公司
2010,,,3.28,420.14,26.37%,104.11亿,45.67%,3.79,,4.6857,0.8654,PE；PB,101.53亿,141.36亿,24.78%,563.42亿,11.74亿,0.3,,中国铁路太原局集团有限公司
