报告期,总市值,总股本,收盘,市销率,营业总收入(亿),营业总收入同比增长率,净利润(亿),净利润同比增长率,每股净资产,总现金,未分配利润,销售净利率,股东权益,存货
2025-09-30,168.987,61.674,2.74,7.6488,16.57,-21.09%,9196.65万,-45.31%,0.13,1.04亿,-5.31亿,5.55%,8.17亿,468.50万
2024,209.692,61.674,3.4,7.9822,26.27,-14.89%,1.84亿,187.70%,0.12,2.96亿,-6.23亿,7.00%,7.25亿,False
2023,251.63,61.674,4.08,8.1539,30.86,-36.03%,-2.09亿,80.98%,0.09,3.78亿,-8.10亿,-6.79%,5.67亿,False
2022,285.551,61.674,4.63,5.9182,48.25,-30.19%,-11.01亿,53.54%,0.13,3.85亿,-6.01亿,-22.84%,7.80亿,False
2021,484.758,61.674,7.86,7.0133,69.12,-38.30%,-23.70亿,-202.83%,0.31,23.17亿,5.01亿,-34.28%,18.89亿,False
2020,2166.608,61.674,35.13,19.3413,112.02,22.08%,23.04亿,27.70%,0.69,69.34亿,28.71亿,20.57%,42.75亿,False
2019,1093.48,61.674,17.73,11.9167,91.76,47.12%,18.05亿,56.52%,0.56,44.79亿,20.47亿,19.67%,34.32亿,False
2018,54.635,8.2034,6.66,0.876,62.37,54.72%,11.53亿,119.67%,0.48,6.49亿,16.60亿,18.48%,29.54亿,2.01万
2017,,,3.67,,40.31,1.58%,5.25亿,696.73%,2.33,1.90亿,5.07亿,1.06%,10.00亿,False
2016,,,5.42,,65.61,25.67%,6587.41万,336.34%,4.08,8.56亿,2.86亿,0.98%,18.91亿,7.18亿
2015,,,8.0,,52.21,-0.31%,1509.68万,126.79%,2.30,6.58亿,2.23亿,0.27%,8.53亿,7.78亿
2014,,,3.23,,52.37,3.79%,-5636.24万,-219.14%,2.94,4.81亿,2.11亿,-1.13%,8.44亿,7.94亿
2013,,,2.33,,50.46,22.28%,4730.91万,-38.63%,3.81,5.23亿,2.79亿,0.91%,9.06亿,8.00亿
2012,,,2.13,,41.27,15.34%,7709.24万,-14.93%,4.84,5.63亿,2.62亿,1.86%,8.76亿,5.43亿
2011,,,3.43,,35.78,17.72%,9062.22万,20.02%,9.10,4.93亿,2.19亿,2.53%,8.01亿,4.21亿
2010,,,,,30.39,37.33%,7550.72万,88.94%,4.01,3.30亿,1.37亿,2.49%,2.65亿,1.83亿
